ID,First Name,Last Name,Basic Salary,Housing Allowance,Transportation Allowance,Medical Allowance,Gross Salary,Net Salary
48,David,Butler,62295,6558,4305,3913,77071.0,65510.35
49,John,Armstrong,67824,10887,2947,1739,83397.0,70887.45
50,Anthony,Tapia,109070,18319,7335,4925,139649.0,118701.65
51,Cody,Stein,45529,13875,2513,2710,64627.0,54932.95
52,Michelle,Castillo,113229,15115,7791,2200,138335.0,117584.75
53,Lisa,Ortega,42190,10132,7909,2554,62785.0,53367.25
54,Donna,Austin,104262,15536,4250,2722,126770.0,107754.5
55,Charles,Owen,49278,12025,5558,2247,69108.0,58741.8
56,Victoria,Simmons,91373,16607,3922,1629,113531.0,96501.35
57,Brandon,Acosta,128353,9794,8849,1391,148387.0,126128.95
58,Nancy,Miller,87936,13930,9569,2746,114181.0,97053.85
59,Carl,Garrison,62714,9264,6739,3351,82068.0,69757.8
60,Lauren,Foster,51389,15659,4287,3533,74868.0,63637.8
61,Marvin,Warren,108246,16858,4576,3780,133460.0,113441.0
62,Jeffrey,Watson,46190,12832,2825,4736,66583.0,56595.55
63,Michael,Scott,39184,5778,8807,4425,58194.0,49464.9
64,Bruce,Christensen,51208,15030,9497,3827,79562.0,67627.7
65,Vincent,Ward,72213,10730,9256,2590,94789.0,80570.65
66,Carlos,Jones,65925,5933,4132,4542,80532.0,68452.2
67,Derek,Perez,79929,12957,8791,4718,106395.0,90435.75
68,Crystal,Cox,35167,5027,7524,1773,49491.0,42067.35
69,Denise,Henderson,47784,10638,2919,3392,64733.0,55023.05
70,Kyle,Gray,135928,5963,9063,2736,153690.0,130636.5
71,Steven,Duran,67443,10733,7484,2989,88649.0,75351.65
72,Dawn,Reed,123505,15995,9806,2674,151980.0,129183.0
73,Anthony,Lawson,42989,13531,6762,1520,64802.0,55081.7
74,Luis,Lamb,140592,18729,3779,4462,167562.0,142427.7
75,Alison,Cummings,85094,14967,3071,3964,107096.0,91031.6
76,Brittany,Moore,137065,5029,2910,1082,146086.0,124173.1
77,Michael,Roberson,141446,8758,8326,3795,162325.0,137976.25
78,Barbara,Williams,141776,18553,2128,3221,165678.0,140826.3
79,David,Johnson,34653,11674,7725,1986,56038.0,47632.3
80,Dean,Santos,127047,15053,6746,3834,152680.0,129778.0
81,Robert,English,71764,13147,6927,2624,94462.0,80292.7
82,Thomas,Mullins,64602,5541,2965,4122,77230.0,65645.5
83,Joshua,Ruiz,65956,13753,6300,1979,87988.0,74789.8
84,Michelle,Castillo,97037,15110,2395,1527,116069.0,98658.65
85,Chelsey,Holt,127082,6308,8926,2510,144826.0,123102.1
86,Kaitlin,Harris,88940,8498,6728,4601,108767.0,92451.95
87,Crystal,Jones,77559,14249,8339,2704,102851.0,87423.35
88,Alex,Fields,66275,16853,6099,4962,94189.0,80060.65
89,Emily,Wilson,134224,17698,9879,2776,164577.0,139890.45
90,Tiffany,Stevens,33538,7049,4392,2314,47293.0,40199.05
91,Becky,Gould,36463,12151,6034,1714,56362.0,47907.7
92,Daniel,Meza,50644,11155,3663,3153,68615.0,58322.75
93,Alicia,Torres,62611,19966,5287,2172,90036.0,76530.6
94,Austin,Hoover,138925,13465,5522,1569,159481.0,135558.85
95,John,Howell,119564,11176,6757,1783,139280.0,118388.0
96,Laura,Lowe,72931,12307,6567,2369,94174.0,80047.9
97,John,Patel,122734,12227,5076,2166,142203.0,120872.55
98,Kristopher,Sawyer,52592,11304,9250,3003,76149.0,64726.65
99,Taylor,Moore,40393,8146,7553,3174,59266.0,50376.1
100,Timothy,Carr,132942,6736,4208,2465,146351.0,124398.35
101,Sean,Powers,128154,9476,2906,3143,143679.0,122127.15
102,Steven,Morris,43572,17503,9878,4991,75944.0,64552.4
103,Scott,Stewart,49844,18938,8017,4064,80863.0,68733.55
104,Jennifer,Martin,74915,11160,3729,2517,92321.0,78472.85
105,Melissa,Burgess,124127,10602,5064,4425,144218.0,122585.3
106,Wyatt,Green,54453,11440,4774,3906,74573.0,63387.05
107,Michael,Torres,137538,7730,4428,4953,154649.0,131451.65
108,Jeffery,Bell,77082,17212,2559,2934,99787.0,84818.95
109,Yolanda,Smith,106338,14069,4068,2666,127141.0,108069.85
110,Kimberly,Ortiz,53839,18856,8671,1824,83190.0,70711.5
111,Tonya,Green,120858,6038,5344,4865,137105.0,116539.25
112,Scott,Travis,106172,10260,7120,3075,126627.0,107632.95
113,Christopher,Anderson,52981,14286,2429,4833,74529.0,63349.65
114,Martin,Atkinson,132978,18372,9084,3887,164321.0,139672.85
115,David,Jimenez,42937,6359,9607,1079,59982.0,50984.7
116,Kelly,Kaiser,84867,18957,3697,1882,109403.0,92992.55
117,Melissa,Chaney,35679,13018,9483,1209,59389.0,50480.65
118,Charles,Perry,33061,18317,7749,3796,62923.0,53484.55
119,Jasmine,Melendez,61528,11403,4433,2414,79778.0,67811.3
120,Rebecca,Mayo,81477,15766,4655,4615,106513.0,90536.05
121,Joshua,Garrett,63622,13395,8507,4835,90359.0,76805.15
122,Vanessa,Smith,74236,17210,6175,4540,102161.0,86836.85
123,Donna,Brown,72362,5948,6597,3286,88193.0,74964.05
124,Laura,Wilson,56340,5370,9948,4065,75723.0,64364.55
125,Julie,Barron,114547,6567,6740,1137,128991.0,109642.35
126,Morgan,Frye,55319,13267,6010,1749,76345.0,64893.25
127,Michael,Jenkins,56522,9927,2987,1825,71261.0,60571.85
128,Briana,Meyer,88501,9623,2689,2278,103091.0,87627.35
129,Kiara,Raymond,48593,12914,6690,1418,69615.0,59172.75
130,Kenneth,Kaufman,146773,6399,3862,3845,160879.0,136747.15
131,John,Rodgers,122480,19314,7749,2536,152079.0,129267.15
132,Jasmine,Cummings,134542,7719,9672,1410,153343.0,130341.55
133,Jermaine,Bowman,116506,10038,5876,3181,135601.0,115260.85
134,Benjamin,Taylor,47678,18416,2295,1981,70370.0,59814.5
135,Michael,Clark,114235,16640,4310,3643,138828.0,118003.8
136,Kelly,Gomez,32959,19046,8035,4627,64667.0,54966.95
137,Melissa,Berry,40880,14170,3047,4930,63027.0,53572.95
138,Richard,Welch,67096,16580,9142,1843,94661.0,80461.85
139,Kelly,Marshall,146884,12519,3563,2701,165667.0,140816.95
140,Terri,Clay,114207,7057,6138,4649,132051.0,112243.35
141,Jesse,Hudson,48675,14653,2320,1158,66806.0,56785.1
142,Christina,Acevedo,51822,5756,5308,2374,65260.0,55471.0
143,Patrick,Smith,88919,18630,8017,4264,119830.0,101855.5
144,Omar,Wheeler,114632,17658,5156,2348,139794.0,118824.9
145,Martin,Miles,35083,7783,2434,2991,48291.0,41047.35
146,Tina,Buchanan,74447,19675,6526,2472,103120.0,87652.0
147,Andrew,Elliott,104300,9534,9477,3252,126563.0,107578.55
148,William,Guerra,149185,10534,6390,4341,170450.0,144882.5
149,Edward,White,82550,11054,6085,1946,101635.0,86389.75
150,Joshua,Long,30844,13531,3428,4934,52737.0,44826.45
151,Margaret,Sherman,84064,9420,3510,3083,100077.0,85065.45
152,Brooke,Kerr,147212,9630,9658,3910,170410.0,144848.5
153,Jonathon,Costa,50876,18103,9002,3756,81737.0,69476.45
154,Monica,Weber,83458,12348,7977,2241,106024.0,90120.4
155,Shannon,Henson,91173,9128,3918,1122,105341.0,89539.85
156,James,Griffith,84642,18863,3152,4297,110954.0,94310.9
157,Kayla,Olson,122660,13961,2663,1673,140957.0,119813.45
158,Rebecca,Mcmillan,118180,10145,4940,3174,136439.0,115973.15
159,Veronica,Lewis,131923,7325,8242,1077,148567.0,126281.95
160,Laura,Clarke,117234,18750,3512,2366,141862.0,120582.7
161,Sara,Jimenez,87616,19828,2277,2106,111827.0,95052.95
162,Patricia,Horton,127836,6192,2461,2866,139355.0,118451.75
163,Christopher,Howard,86735,11090,7502,1128,106455.0,90486.75
164,Joseph,Alvarez,125041,17952,8988,2206,154187.0,131058.95
165,Michael,Gonzales,52523,16694,8646,2840,80703.0,68597.55
166,Benjamin,Sloan,106979,8123,6883,3248,125233.0,106448.05
167,Renee,Schmidt,78410,10113,4115,1191,93829.0,79754.65
168,Marco,Bailey,34825,13899,9240,2270,60234.0,51198.9
169,Sherry,Gordon,129062,12074,8745,3743,153624.0,130580.4
170,John,Jenkins,127759,18944,5525,3205,155433.0,132118.05
171,Deborah,Carey,36646,8631,5826,4830,55933.0,47543.05
172,Natalie,Robertson,112798,6339,6038,4516,129691.0,110237.35
173,Jessica,Wise,96047,8673,8739,1428,114887.0,97653.95
174,Carol,Baker,74385,7041,3436,4130,88992.0,75643.2
175,Sharon,Bartlett,94083,13335,9268,3139,119825.0,101851.25
176,Michael,Marquez,142550,17580,3080,1966,165176.0,140399.6
177,Wanda,Mcbride,68209,9459,4041,1677,83386.0,70878.1
178,Aaron,Hart,118002,16500,5404,1722,141628.0,120383.8
179,Jacob,Howard,72251,7783,8342,4393,92769.0,78853.65
180,Laura,Owen,130975,10002,9510,1193,151680.0,128928.0
181,Frank,Mendoza,123022,9127,9399,3538,145086.0,123323.1
182,David,Barrera,62850,11112,2246,3726,79934.0,67943.9
183,April,Berry,108345,18815,9823,1548,138531.0,117751.35
184,John,Reilly,85014,9854,6662,3382,104912.0,89175.2
185,Samuel,Flores,53578,19752,2856,3140,79326.0,67427.1
186,Amber,Roberts,120478,8406,8329,4220,141433.0,120218.05
187,Heidi,Bender,142386,12306,4163,2430,161285.0,137092.25
188,Gregory,Schultz,87767,6041,3037,1244,98089.0,83375.65
189,Megan,Holmes,59572,13708,8367,4902,86549.0,73566.65
190,John,Stephens,43402,9461,6046,1299,60208.0,51176.8
191,Shawn,Davis,93875,16510,4709,2434,117528.0,99898.8
192,Nicole,Carter,80013,18055,6357,3824,108249.0,92011.65
193,Yesenia,Nguyen,81217,14395,5891,3026,104529.0,88849.65
194,Haley,Rodriguez,42045,19414,8477,2156,72092.0,61278.2
195,Sarah,Holloway,78093,17821,9843,3781,109538.0,93107.3
196,Monica,Sullivan,32219,8268,9579,1221,51287.0,43593.95
197,Timothy,Townsend,104390,11031,4996,3022,123439.0,104923.15
198,Gina,Ruiz,43402,7732,5515,3763,60412.0,51350.2
199,James,Love,84236,12082,4080,4119,104517.0,88839.45
200,Robert,Pollard,43546,12456,6271,4644,66917.0,56879.45
201,Mackenzie,Cantrell,65567,15826,5087,4813,91293.0,77599.05
202,Thomas,Little,135361,14988,5988,3280,159617.0,135674.45
203,Timothy,Clark,83617,9806,2390,2320,98133.0,83413.05
204,John,Clark,92023,12628,3130,2261,110042.0,93535.7
205,Todd,Murphy,77336,12445,4497,3623,97901.0,83215.85
206,Christy,Thomas,39662,19836,6785,3110,69393.0,58984.05
207,Michael,Petty,126426,15885,2475,4470,149256.0,126867.6
208,William,Dean,86513,7326,5071,2294,101204.0,86023.4
209,Chelsea,Ramirez,141378,13438,4578,2570,161964.0,137669.4
210,Stanley,Reyes,117679,11318,8057,1622,138676.0,117874.6
211,Stephanie,Barr,32628,19008,4777,1391,57804.0,49133.4
212,David,Stanley,122954,9453,7739,3720,143866.0,122286.1
213,Mallory,Wilson,56832,5092,2951,2858,67733.0,57573.05
214,Wesley,Robertson,104138,12626,2535,1820,121119.0,102951.15
215,Amber,White,63094,17340,7447,3996,91877.0,78095.45
216,Matthew,Bowers,32406,18354,9465,3067,63292.0,53798.2
217,Theresa,Thomas,60547,6391,6038,2055,75031.0,63776.35
218,Steven,Smith,121546,12351,8821,1782,144500.0,122825.0
219,Karen,Anderson,82850,16939,6916,3898,110603.0,94012.55
220,Kristen,Fischer,101652,11248,4637,3489,121026.0,102872.1
221,Angela,Valdez,78904,12753,2014,2482,96153.0,81730.05
222,Christina,Campbell,147708,11137,3376,1056,163277.0,138785.45
223,Kathy,Fischer,83300,19386,3179,2423,108288.0,92044.8
224,Ronald,Smith,40251,13159,9953,1850,65213.0,55431.05
225,Martha,Scott,142399,7413,4012,2635,156459.0,132990.15
226,Julie,Sawyer,115403,18184,4162,4592,142341.0,120989.85
227,Reginald,Wright,98050,9382,3287,2919,113638.0,96592.3
228,Devon,Smith,137532,15706,9544,3507,166289.0,141345.65
229,Jackson,Cummings,103038,9368,2187,3323,117916.0,100228.6
230,Albert,Wilson,101331,5519,7046,1222,115118.0,97850.3
231,Sarah,Robbins,92363,10804,6641,3077,112885.0,95952.25
232,Sara,Williamson,145156,9546,8773,4921,168396.0,143136.6
233,Adam,Cole,86688,12683,7078,3041,109490.0,93066.5
234,Scott,Travis,99905,5108,3898,1535,110446.0,93879.1
235,Joseph,Maynard,84772,10899,4510,4961,105142.0,89370.7
236,Richard,Rodriguez,105763,5685,7927,2723,122098.0,103783.3
237,Michael,Christensen,52218,8573,9723,2217,72731.0,61821.35
238,Christine,Watson,136920,10476,5446,2187,155029.0,131774.65
239,Vickie,Jimenez,126248,13376,3234,1719,144577.0,122890.45
240,Charles,Colon,73693,17877,4324,4899,100793.0,85674.05
241,Cristian,Craig,69851,8907,3232,2969,84959.0,72215.15
242,Tiffany,Scott,59773,14742,4659,3167,82341.0,69989.85
243,Denise,Lutz,45858,5240,5294,2935,59327.0,50427.95
244,Tanya,Wilkins,44840,19940,8718,4424,77922.0,66233.7
245,James,Mata,96647,17019,4174,1182,119022.0,101168.7
246,Phillip,Mullins,141030,5879,2719,4207,153835.0,130759.75
247,Leroy,Duarte,130499,8123,6965,3105,148692.0,126388.2
248,Rachel,Hull,129124,19799,6287,3916,159126.0,135257.1
249,Jacob,Garcia,75343,14008,7611,3445,100407.0,85345.95
250,Alex,Figueroa,55660,14518,6120,2228,78526.0,66747.1
251,Lisa,Steele,78619,10816,3416,3646,96497.0,82022.45
252,Sonya,Brown,39826,15791,9714,2062,67393.0,57284.05
253,Michael,Meyers,138954,13139,6520,1086,159699.0,135744.15
254,Richard,Williams,88588,11797,6836,1539,108760.0,92446.0
255,Dawn,Jones,62442,5877,6029,2699,77047.0,65489.95
256,Barbara,Hernandez,30230,16377,2712,4072,53391.0,45382.35
257,Kyle,Crawford,142872,12463,9161,4836,169332.0,143932.2
258,Stephanie,Carter,96400,6792,3148,1341,107681.0,91528.85
259,John,Nguyen,49379,16300,4790,2721,73190.0,62211.5
260,Aaron,Taylor,135972,8291,5913,2334,152510.0,129633.5
261,Roy,Berry,69365,8079,3901,2030,83375.0,70868.75
262,Brad,Little,79124,10555,5461,4031,99171.0,84295.35
263,Brandon,Edwards,45617,7772,6632,2573,62594.0,53204.9
264,Paul,Rodriguez,85887,6949,2810,3301,98947.0,84104.95
265,Randy,Larsen,79325,8612,7660,2667,98264.0,83524.4
266,Jennifer,Robertson,135180,13997,3619,2719,155515.0,132187.75
267,Jeremy,Edwards,59809,11327,8969,3172,83277.0,70785.45
268,Kyle,Krueger,33482,10229,3880,3818,51409.0,43697.65
269,Christopher,Nunez,84365,19617,7843,2945,114770.0,97554.5
270,Russell,Conrad,139534,5275,3454,2388,150651.0,128053.35
271,James,Garrett,108651,15786,3886,1938,130261.0,110721.85
272,Jacob,Kerr,73680,8588,6745,4584,93597.0,79557.45
273,Heather,Campos,118594,16509,4914,4816,144833.0,123108.05
274,Jesse,Robinson,59497,5058,9856,3514,77925.0,66236.25
275,Nathan,Martin,78027,12495,5181,1777,97480.0,82858.0
276,Jonathan,Ortiz,111684,8345,6969,2085,129083.0,109720.55
277,Brandi,Moore,112784,18178,5106,3718,139786.0,118818.1
278,Paul,Larson,83772,12659,7506,2846,106783.0,90765.55
279,Jessica,Kramer,140360,11961,2919,1325,156565.0,133080.25
280,David,Hamilton,64833,15438,4122,4530,88923.0,75584.55
281,Michael,Frank,103050,7570,9154,1096,120870.0,102739.5
282,Melissa,Hickman,34089,19890,6233,1801,62013.0,52711.05
283,Jennifer,Webster,39220,6367,2783,3010,51380.0,43673.0
284,Kimberly,Walker,110734,13913,5061,3535,133243.0,113256.55
285,Colleen,Johnson,109049,10522,7599,1400,128570.0,109284.5
286,Jennifer,Newton,82187,10427,7368,3683,103665.0,88115.25
287,Joseph,Forbes,44308,5615,6211,3892,60026.0,51022.1
288,Joe,Turner,122411,7662,8344,4452,142869.0,121438.65
289,Wayne,Horton,31282,6518,6715,2131,46646.0,39649.1
290,David,Hernandez,39566,7344,9018,4507,60435.0,51369.75
291,Matthew,Morris,33460,12184,9028,2177,56849.0,48321.65
292,Troy,Knapp,38068,7456,9505,3964,58993.0,50144.05
293,Samuel,Garcia,82160,6899,9076,4717,102852.0,87424.2
294,James,Good,75379,9396,3512,4824,93111.0,79144.35
295,Mark,Abbott,104349,6384,5957,3878,120568.0,102482.8
296,Jessica,Brock,119322,11919,5663,3613,140517.0,119439.45
297,Ryan,Webb,34851,12591,9366,3042,59850.0,50872.5
298,Amanda,Barajas,89332,16692,3660,3431,113115.0,96147.75
299,Joel,Lee,73472,17550,8838,1176,101036.0,85880.6
300,Robert,Skinner,120487,15532,7850,4494,148363.0,126108.55
301,David,Calderon,135210,13458,7817,4584,161069.0,136908.65
302,Suzanne,Flores,126677,16317,5418,1178,149590.0,127151.5
303,Andrea,Rowe,127195,5106,4132,4729,141162.0,119987.7
304,Jason,Harrison,103747,18598,7999,4707,135051.0,114793.35
305,Barbara,Patel,67887,18400,8191,3674,98152.0,83429.2
306,Jason,Schwartz,127341,15069,2851,4983,150244.0,127707.4
307,Sharon,Luna,93283,14965,5196,1930,115374.0,98067.9
308,Shelly,Bailey,51081,8388,3278,2056,64803.0,55082.55
309,Nicole,Singh,128051,5575,5477,1848,140951.0,119808.35
310,Katherine,Reese,63043,6586,4512,2846,76987.0,65438.95
311,Isaac,Hernandez,78673,19679,8619,1090,108061.0,91851.85
312,James,Diaz,136348,11100,4980,3209,155637.0,132291.45
313,Andrea,Adams,76640,5505,8328,3763,94236.0,80100.6
314,Lisa,Stevenson,75504,19737,3878,3433,102552.0,87169.2
315,Maria,Peters,51988,18955,3977,2848,77768.0,66102.8
316,Lisa,Lopez,104562,11520,5203,3178,124463.0,105793.55
317,William,Walker,135300,13982,7778,4068,161128.0,136958.8
318,Linda,Davis,44771,8420,2556,3704,59451.0,50533.35
319,Cindy,Alvarez,57452,10584,7101,2178,77315.0,65717.75
320,Ian,Green,88687,17668,8468,2806,117629.0,99984.65
321,Timothy,Marquez,71052,19592,7912,3141,101697.0,86442.45
322,David,Patton,143576,16883,4973,1540,166972.0,141926.2
323,Kristen,Rowe,90917,12584,9598,2867,115966.0,98571.1
324,Michele,Perez,139689,19044,9212,3924,171869.0,146088.65
325,Kelsey,Gordon,138367,13741,7290,1663,161061.0,136901.85
326,John,Gates,140501,19595,7958,3629,171683.0,145930.55
327,Erin,Turner,127736,10506,7214,3040,148496.0,126221.6
328,Allen,Welch,71004,7526,4419,2634,85583.0,72745.55
329,Johnny,Jones,35828,8239,2017,4647,50731.0,43121.35
330,Lindsey,Kline,143104,16147,6029,1872,167152.0,142079.2
331,Bobby,York,119507,5228,7883,4105,136723.0,116214.55
332,Laura,Rodriguez,98669,13401,8140,1359,121569.0,103333.65
333,Jennifer,Marshall,40672,18423,5053,3984,68132.0,57912.2
334,Crystal,Reid,74030,19701,7646,4408,105785.0,89917.25
335,Gina,Carpenter,35209,19961,4496,1112,60778.0,51661.3
336,Shannon,Cox,92101,9563,5555,4940,112159.0,95335.15
337,John,King,121791,8863,5673,3782,140109.0,119092.65
338,Manuel,Fischer,68002,13601,4991,1828,88422.0,75158.7
339,Jorge,Watkins,47089,5952,4942,3345,61328.0,52128.8
340,Sandra,Thomas,72462,18053,6278,2068,98861.0,84031.85
341,Darren,Scott,40955,18985,2070,1797,63807.0,54235.95
342,Jenny,Esparza,94338,18324,7622,1424,121708.0,103451.8
343,Samantha,Lewis,66657,15447,5504,3023,90631.0,77036.35
344,Benjamin,Flynn,129240,11050,2470,2972,145732.0,123872.2
345,Timothy,Gill,93533,12870,4011,2990,113404.0,96393.4
346,Amy,Decker,107580,9538,5242,1180,123540.0,105009.0
347,Donald,Mckinney,98084,9552,6129,1576,115341.0,98039.85
348,John,Williams,87523,14938,3283,2804,108548.0,92265.8
349,Chelsea,Young,139658,5223,7920,4152,156953.0,133410.05
350,Christopher,Bolton,48324,16371,4703,1093,70491.0,59917.35
351,Linda,Singh,135411,7797,9155,4390,156753.0,133240.05
352,Jessica,Craig,137505,13305,8697,3733,163240.0,138754.0
353,Michael,Reeves,111086,14849,4011,4637,134583.0,114395.55
354,Eric,Velazquez,127349,19613,2296,4359,153617.0,130574.45
355,Jordan,Williams,148874,17405,9591,2985,178855.0,152026.75
356,George,White,60959,5266,3035,4274,73534.0,62503.9
357,Lisa,Christensen,95409,16508,2263,3564,117744.0,100082.4
358,Tracy,Price,39318,15097,4641,4420,63476.0,53954.6
359,Anthony,Villanueva,104797,16115,5335,2118,128365.0,109110.25
360,Christopher,Thornton,99297,9324,8035,3716,120372.0,102316.2
361,James,Floyd,100509,16877,8324,1981,127691.0,108537.35
362,Rebecca,Cline,98471,16003,5963,1104,121541.0,103309.85
363,Scott,Miller,115548,10122,4293,2017,131980.0,112183.0
364,Teresa,Robinson,91060,13492,6430,2024,113006.0,96055.1
365,Deanna,Bell,142901,6233,9202,2142,160478.0,136406.3
366,Michael,Stewart,121717,16927,2946,2255,143845.0,122268.25
367,Nicole,Montgomery,46767,17273,7032,3317,74389.0,63230.65
368,Eric,Lozano,56891,15289,4884,2623,79687.0,67733.95
369,Linda,Ramirez,119868,11964,2096,1045,134973.0,114727.05
370,Jesus,Norman,102947,6270,9432,2053,120702.0,102596.7
371,Norma,Arnold,113873,9631,2429,2466,128399.0,109139.15
372,Julie,Austin,97503,16332,5263,3198,122296.0,103951.6
373,Christian,Contreras,125024,7714,4224,4322,141284.0,120091.4
374,Dean,Harris,57541,7509,4699,4007,73756.0,62692.6
375,Michael,Arroyo,130139,11711,8992,4320,155162.0,131887.7
376,Brooke,Thomas,61294,18154,3631,3138,86217.0,73284.45
377,Amy,Allen,48090,7390,2501,3047,61028.0,51873.8
378,Bryan,Stout,43488,13825,6865,4111,68289.0,58045.65
379,Joseph,Williams,142971,17298,4900,4410,169579.0,144142.15
380,Keith,Moreno,46601,6853,6694,4918,65066.0,55306.1
381,James,Gill,72191,10952,9528,1371,94042.0,79935.7
382,Cory,Jones,129658,14045,8745,2355,154803.0,131582.55
383,Brian,Richard,81468,10352,6130,2623,100573.0,85487.05
384,Katherine,Cunningham,142615,9477,5485,2958,160535.0,136454.75
385,Jamie,Rhodes,69739,10107,8343,4403,92592.0,78703.2
386,Emily,Moore,125322,5557,8563,4379,143821.0,122247.85
387,Matthew,Mccoy,137966,15497,6604,1385,161452.0,137234.2
388,Christopher,Garcia,112616,14875,7545,2923,137959.0,117265.15
389,April,Mitchell,38141,18860,2418,3976,63395.0,53885.75
390,Tammy,Walker,146365,18922,4549,4703,174539.0,148358.15
391,Vernon,Sullivan,96703,7021,4972,4578,113274.0,96282.9
392,Travis,Morgan,105924,18070,4058,4861,132913.0,112976.05
393,Michele,Cervantes,138994,5961,3568,2808,151331.0,128631.35
394,John,Jackson,130940,15401,4092,3746,154179.0,131052.15
395,Christine,Peters,79311,19287,2738,4673,106009.0,90107.65
396,Bradley,Ross,66030,12125,8477,4015,90647.0,77049.95
397,Mary,Scott,109590,11767,3534,2584,127475.0,108353.75
398,Tammy,Johnson,61545,7341,8009,2588,79483.0,67560.55
399,Vincent,Adams,75030,7450,8299,2098,92877.0,78945.45
400,Frank,Obrien,59960,17447,9314,1530,88251.0,75013.35
401,Heather,Moore,33499,18280,6291,2540,60610.0,51518.5
402,Tammy,Barajas,78416,17414,2205,4472,102507.0,87130.95
403,Julian,David,117154,6028,8652,2454,134288.0,114144.8
404,David,Carr,125305,16776,4371,2580,149032.0,126677.2
405,Tracy,Costa,86100,5713,3233,1746,96792.0,82273.2
406,Alexis,Porter,95287,18599,2791,4689,121366.0,103161.1
407,Vernon,Wheeler,56263,10320,3702,1629,71914.0,61126.9
408,Laura,Bradley,69097,10917,3701,3282,86997.0,73947.45
409,Marie,Smith,115668,11676,7507,2519,137370.0,116764.5
410,Brenda,Olsen,129164,13879,7276,4505,154824.0,131600.4
411,Michelle,Thompson,50405,5543,9034,2335,67317.0,57219.45
412,Jeffery,Mendoza,87033,5024,5871,1963,99891.0,84907.35
413,Kristy,Johnson,63433,19184,5418,3607,91642.0,77895.7
414,Wendy,Hardin,132429,17950,9012,1176,160567.0,136481.95
415,Kaitlin,Hutchinson,36189,9548,5691,4833,56261.0,47821.85
416,John,Ortega,83682,18324,7418,3020,112444.0,95577.4
417,Kathryn,Carpenter,47232,8978,3022,2924,62156.0,52832.6
418,Tiffany,Curry,86273,13231,5560,2789,107853.0,91675.05
